"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Mar 03 23:39:06 IST 2021","Wed Mar 03 23:39:06 IST 2021","1","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","",""
"broken","Thu Mar 04 18:00:16 IST 2021","Thu Mar 04 18:00:16 IST 2021","1","","Automation practice website registration: As a user, I can log into the secure area","","Automation practice website registration: As a user, I can log into the secure area","When I click on signin button","When I click on signin button",""
"broken","Thu Mar 04 22:02:26 IST 2021","Thu Mar 04 22:02:26 IST 2021","26","","Automation practice website registration: As a user, I can log into the secure area","","Automation practice website registration: As a user, I can log into the secure area","When I click on signin button","When I click on signin button",""
"broken","Thu Mar 04 23:31:57 IST 2021","Thu Mar 04 23:31:57 IST 2021","1","","Automation practice website registration: Taking me to the account creation page","","Automation practice website registration: Taking me to the account creation page","Given I click on signin button","Given I click on signin button",""
"passed","Sat Mar 06 14:26:28 IST 2021","Sat Mar 06 14:26:35 IST 2021","6774","","Adding item to cart and verify: Add items to the cart","","Adding item to cart and verify: Add items to the cart","Given I am on the home page for cart items","Given I am on the home page for cart items",""
"passed","Thu Mar 04 11:21:06 IST 2021","Thu Mar 04 11:21:07 IST 2021","1035","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","Then I should see a flash message saying You logged into a secure area!","Then I should see a flash message saying You logged into a secure area!",""
"passed","Thu Mar 04 22:02:26 IST 2021","Thu Mar 04 22:02:26 IST 2021","23","","Automation practice website registration: As a user, I can log into the secure area","","Automation practice website registration: As a user, I can log into the secure area","Given I am on the home page","Given I am on the home page",""
"passed","Thu Mar 04 22:02:26 IST 2021","Thu Mar 04 22:02:26 IST 2021","3","","Automation practice website registration: As a user, I can log into the secure area","","Automation practice website registration: As a user, I can log into the secure area","","",""
"broken","Fri Mar 05 16:40:09 IST 2021","Fri Mar 05 16:40:09 IST 2021","6","","Automation practice website registration: Taking me to the account creation page","","Automation practice website registration: Taking me to the account creation page","Then it takes me to create account page","Then it takes me to create account page",""
"passed","Thu Mar 04 11:21:06 IST 2021","Thu Mar 04 11:21:06 IST 2021","382","","The Internet Guinea Pig Website: As a user, I can log into the secure area","","The Internet Guinea Pig Website: As a user, I can log into the secure area","When I login with tomsmith and SuperSecretPassword!","When I login with tomsmith and SuperSecretPassword!",""
